Gap,neff,E2dens,VpiL,Loss
3.0000000000000004E-7,2.269957534423731-5.911810866890185E-5i,472.2901102929808,1.2230180991833357,41.63116098080427
3.2000000000000006E-7,2.269396549940421-4.3381917147950275E-5i,428.473008829863,1.3475690443435968,30.54968464159053
3.4000000000000003E-7,2.2689878092951195-3.187153305083168E-5i,390.4137794488963,1.4785470293138472,22.444035389822364
3.6000000000000005E-7,2.268690060162492-2.3434817299897888E-5i,357.1363347499844,1.6160599489179028,16.502873206446043
3.8000000000000007E-7,2.268472536328841-1.7244005469866055E-5i,327.8690394814578,1.760163574734587,12.143283738836807
4.0000000000000003E-7,2.2683149809547376-1.2687046395385722E-5i,301.99522956242566,1.9109165899602956,8.934258601122577
4.2000000000000006E-7,2.268201945978215-9.343894724851691E-6i,279.01832387216956,2.0683278295820373,6.5800005148441825
4.4E-7,2.2681173051793744-6.889314000143225E-6i,258.52706802068934,2.2323256950883,4.851476927206623
4.6000000000000004E-7,2.2680592102245662-5.074684368010227E-6i,240.15291497008,2.403324464900998,3.573608943320904
4.800000000000001E-7,2.2680152853116065-3.7418958424366977E-6i,223.63819709724774,2.5809888796877014,2.6350550059432076
5.000000000000001E-7,2.2679859081522027-2.7588333423797437E-6i,208.73276754902358,2.765567791013024,1.942779252953981
5.200000000000001E-7,2.26796688757365-2.0375307075887617E-6i,195.2553928839462,2.9568022751639145,1.4348356332918428
5.400000000000001E-7,2.26794921501712-1.5034735832231365E-6i,182.99586097829152,3.155160765091778,1.0587509002376834
5.6E-7,2.2679365089187318-1.1118253438600497E-6i,171.8484307321296,3.3600912197374337,0.7829509589356013
5.800000000000001E-7,2.2679287794619922-8.213851599052856E-7i,161.6597485676561,3.572196097539434,0.5784220535669548
6.0E-7,2.2679223437671854-6.073621966389113E-7i,152.3318547252365,3.791265169720253,0.42770639912623415
6.2E-7,2.267919009757806-4.4943829713096913E-7i,143.77603534213426,4.017226685400528,0.316495884595854
6.4E-7,2.267918648969101-3.3258282244444867E-7i,135.90807719337295,4.250183772230547,0.23420588602014014
6.6E-7,2.2679142527368263-2.461793342269447E-7i,128.6476129086179,4.490358564404755,0.17336027359651202
6.800000000000001E-7,2.2679149903659557-1.8233521372085577E-7i,121.94872817032525,4.737426967771266,0.12840103998244676
7.000000000000001E-7,2.267912905744192-1.3503919557471346E-7i,115.74437735600823,4.99171492578583,0.09509503291411092
