lambda (m),lambda (nm),kappa_prime (1/m),neff_even,neff_odd
1.54e-06,1540.0,116623.0988818917,2.308543274278325,2.2513749548678215
1.5404081632653061e-06,1540.4081632653063,116776.69676662887,2.3082204696651223,2.2509616850887944
1.5408163265306124e-06,1540.8163265306125,116930.43877536764,2.307897683713772,2.250548323373372
1.5412244897959185e-06,1541.2244897959185,117084.32494001847,2.307574916527766,2.250134869753216
1.5416326530612246e-06,1541.6326530612246,117238.35529171047,2.3072521682103178,2.249721324260078
1.5420408163265306e-06,1542.0408163265306,117392.52986151265,2.3069294388654424,2.2493076869265227
1.542448979591837e-06,1542.4489795918369,117546.84868006772,2.306606728596404,2.248893957784558
1.542857142857143e-06,1542.857142857143,117701.31177788643,2.3062840375068294,2.2484801368666036
1.543265306122449e-06,1543.2653061224491,117855.91918526833,2.305961365700116,2.248066224204937
1.543673469387755e-06,1543.6734693877552,118010.67093212386,2.3056387132798335,2.247652219832184
1.5440816326530614e-06,1544.0816326530614,118165.56704808792,2.3053160803499595,2.247238123781498
1.5444897959183674e-06,1544.4897959183675,118320.60756266922,2.3049934670139005,2.2468239360855073
1.5448979591836735e-06,1544.8979591836735,118475.7925050211,2.304670873374725,2.246409656776663
1.5453061224489796e-06,1545.3061224489795,118631.12190393293,2.304348299536833,2.2459952858889105
1.5457142857142859e-06,1545.7142857142858,118786.59578802918,2.3040257456032585,2.2455808234548953
1.546122448979592e-06,1546.122448979592,118942.21418581571,2.3037032116777656,2.2451662695080374
1.546530612244898e-06,1546.530612244898,119097.97712516294,2.3033806978639735,2.244751624081909
1.5469387755102043e-06,1546.9387755102043,119253.88463415713,2.3030582042654677,2.2443368872099287
1.5473469387755103e-06,1547.3469387755104,119409.93673998045,2.3027357309858805,2.2439220589259916
1.5477551020408164e-06,1547.7551020408164,119566.13347010087,2.302413278128993,2.2435071392639876
1.5481632653061225e-06,1548.1632653061224,119722.47485152577,2.3020908457981295,2.2430921282575613
1.5485714285714287e-06,1548.5714285714287,119878.96091097096,2.3017684340972413,2.2426770259411155
1.5489795918367348e-06,1548.979591836735,120035.59167472606,2.3014460431298605,2.242261832348829
1.5493877551020409e-06,1549.387755102041,120192.36716915558,2.301123672999464,2.2418465475147755
1.549795918367347e-06,1549.795918367347,120349.28742007235,2.3008013238097664,2.2414311714735238
1.5502040816326532e-06,1550.2040816326532,120506.35245309459,2.300478995664815,2.241015704260059
1.5506122448979593e-06,1550.6122448979593,120663.56229352385,2.300156688667643,2.2406001459084948
1.5510204081632654e-06,1551.0204081632653,120820.91696641562,2.2998344029223214,2.2401844964540913
1.5514285714285714e-06,1551.4285714285713,120978.4164965975,2.2995121385321475,2.2397687559314337
1.5518367346938777e-06,1551.8367346938778,121136.0609086004,2.2991898956013754,2.239352924376198
1.5522448979591838e-06,1552.2448979591838,121293.85022657624,2.2988676742333634,2.238937001823339
1.5526530612244898e-06,1552.6530612244899,121451.78447445379,2.2985454745313882,2.2385209883078283
1.553061224489796e-06,1553.061224489796,121609.86367594716,2.298223296600072,2.2381048838660753
1.5534693877551022e-06,1553.4693877551022,121768.08785440335,2.2979011405419287,2.237688688532551
1.5538775510204083e-06,1553.8775510204082,121926.45703289256,2.29757900646172,2.237272402344099
1.5542857142857143e-06,1554.2857142857142,122084.97123418878,2.297256894462285,2.236856025335775
1.5546938775510206e-06,1554.6938775510207,122243.63048081947,2.296934804647923,2.2364395575442053
1.5551020408163267e-06,1555.1020408163267,122402.43479506337,2.296612737121864,2.236022999005057
1.5555102040816327e-06,1555.5102040816328,122561.38419890394,2.2962906919880415,2.235606349754837
1.5559183673469388e-06,1555.9183673469388,122720.47871387488,2.295968669350215,2.2351896098300883
1.556326530612245e-06,1556.326530612245,122879.7183613375,2.2956466693116546,2.2347727792669394
1.5567346938775511e-06,1556.734693877551,123039.10316245332,2.2953246919765697,2.2343558581025458
1.5571428571428572e-06,1557.142857142857,123198.63313801045,2.2950027374482276,2.2339388463732948
1.5575510204081633e-06,1557.5510204081634,123358.30830848584,2.294680805830595,2.233521744116417
1.5579591836734696e-06,1557.9591836734696,123518.12869412906,2.2943588972271955,2.2331045513688013
1.5583673469387756e-06,1558.3673469387757,123678.0943147083,2.294037011741864,2.2326872681678767
1.5587755102040817e-06,1558.7755102040817,123838.20518997729,2.2937151494780426,2.2322698945506767
1.5591836734693878e-06,1559.1836734693877,123998.46133915547,2.2933933105397846,2.2318524305551
1.559591836734694e-06,1559.591836734694,124158.86278134554,2.29307149503033,2.2314348762182803
1.56e-06,1560.0,124319.40953525374,2.2927497030534636,2.2310172315780834
